날짜,발전기명,일일발전량(Wh),기온,강수,풍속,풍향,습도
2021.6.1,광양항광양냉장태양광,4244454,22.84999996,0,0.825,203.1666667,52.95833333
2021.6.2,광양항광양냉장태양광,3248909,22.20416667,0.520833333,1.070833333,149.7916667,69.41666667
2021.6.3,광양항광양냉장태양광,729910,15.99999983,0.395833333,1.1375,198.1666667,88.95833333
2021.6.4,광양항광양냉장태양광,4507685,20.31250004,0,1.6625,275.5833333,53.08333333
2021.6.5,광양항광양냉장태양광,4013043,21.27500004,0,1.275,240.9166667,80.70833333
2021.6.6,광양항광양냉장태양광,4278685,22.02916658,0,0.9125,224.625,74.20833333
2021.6.7,광양항광양냉장태양광,4040043,23.29166671,0,0.995833333,224.75,73.75
2021.6.8,광양항광양냉장태양광,4194316,23.85000004,0,1.1875,88.95833333,73.45833333
2021.6.9,광양항광양냉장태양광,4371249,24.91249983,0,1.095833333,118.7916667,53.95833333
2021.6.10,광양항광양냉장태양광,2115959,22.70833329,2.083333333,1.345833333,122.0833333,81.41666667
2021.6.11,광양항광양냉장태양광,1841160,22.04166667,0.083333333,1.033333333,105.75,92.66666667
2021.6.12,광양항광양냉장태양광,3770062,24.31250008,0,1.308333333,103.9166667,84.41666667
2021.6.13,광양항광양냉장태양광,3889625,24.21666675,0,1.308333333,128.6666667,81.5
2021.6.14,광양항광양냉장태양광,1880210,22.78333346,0,1.804166667,74.58333333,80.79166667
2021.6.15,광양항광양냉장태양광,686036,20.51249992,0.8125,3.891666667,48.79166667,90.5
2021.6.16,광양항광양냉장태양광,2777408,21.84583329,0,3.191666667,46.95833333,72.875
2021.6.17,광양항광양냉장태양광,2703646,21.34583333,0,0.9375,191.25,84.33333333
2021.6.18,광양항광양냉장태양광,1633372,21.96249992,0,0.720833333,240.625,84.91666667
2021.6.19,광양항광양냉장태양광,4575660,20.91666675,0,0.541666667,159.8333333,70.625
2021.6.20,광양항광양냉장태양광,4149963,25.0958335,0,1.141666667,253.125,58.125
2021.6.21,광양항광양냉장태양광,4247830,24.6291665,0,1.1875,150.9166667,65.625
2021.6.22,광양항광양냉장태양광,3604701,22.59166667,0,1.008333333,116.5416667,75.75
2021.6.23,광양항광양냉장태양광,2528159,21.74583346,0,0.995833333,123.3333333,78.45833333
2021.6.24,광양항광양냉장태양광,3578185,22.17083342,0,0.845833333,187.7083333,76.45833333
2021.6.25,광양항광양냉장태양광,4028472,23.57916692,0,0.8875,179.1666667,71.95833333
2021.6.26,광양항광양냉장태양광,3515031,23.37916658,0,1.058333333,131.625,68.375
2021.6.27,광양항광양냉장태양광,4015454,24.81666667,0,1.65,71.375,69.41666667
2021.6.28,광양항광양냉장태양광,3062332,24.22083329,0,1.1,146.0833333,76.70833333
2021.6.29,광양항광양냉장태양광,3387272,24.35416671,0,0.9125,148.7083333,70.625
2021.6.30,광양항광양냉장태양광,3349187,24.37083329,0,1.416666667,87.29166667,69.95833333
2021.7.1,광양항광양냉장태양광,4222279,26.13750008,0,1.033333333,147.0416667,71.625
2021.7.2,광양항광양냉장태양광,3291333,22.41250008,-0.041666667,1.85,73.125,67.91666667
2021.7.3,광양항광양냉장태양광,428110,23.32500013,2.25,2.175,168.2916667,93.875
2021.7.4,광양항광양냉장태양광,2781747,23.26250017,0.333333333,1.575,240.875,88.5
2021.7.5,광양항광양냉장태양광,521155,22.37916654,6.6875,0.966666667,197.5,98.25
2021.7.6,광양항광양냉장태양광,252141,23.61249983,4.041666667,0.954166667,209.7916667,98.5
2021.7.7,광양항광양냉장태양광,987832,24.74166683,1.5625,0.879166667,165.2916667,96.91666667
2021.7.8,광양항광양냉장태양광,2019057,25.41666642,0,0.941666667,219.625,93.25
2021.7.9,광양항광양냉장태양광,2796208,25.53333325,0.3125,1.141666667,237.2083333,88.70833333
2021.7.10,광양항광양냉장태양광,3091259,26.07916667,0,1.1125,248.3333333,84.45833333
2021.7.11,광양항광양냉장태양광,3279759,27.65000021,0,1.054166667,220.0416667,84.33333333
2021.7.12,광양항광양냉장태양광,3919998,24.55416662,-0.041666667,0.879166667,189.4583333,78.79166667
2021.7.13,광양항광양냉장태양광,4167318,28.34583325,0,1.1375,207.125,81.29166667
2021.7.14,광양항광양냉장태양광,3728602,27.62083325,0,1.108333333,211.7916667,80.95833333
2021.7.15,광양항광양냉장태양광,3486585,27.67500013,0,0.929166667,138.75,82.125
2021.7.16,광양항광양냉장태양광,3306277,26.04583337,0.020833333,1.245833333,160.4583333,79.33333333
2021.7.17,광양항광양냉장태양광,2866597,26.03333321,0.020833333,2.6625,61.375,78.16666667
2021.7.18,광양항광양냉장태양광,3232032,26.45000008,0.020833333,2.233333333,62.33333333,78.125
2021.7.19,광양항광양냉장태양광,3228177,27.3375,0,1.908333333,59.95833333,77.79166667
2021.7.20,광양항광양냉장태양광,2135727,27.38750017,0,1.879166667,48.79166667,72.75
2021.7.21,광양항광양냉장태양광,3079689,28.21249983,0,2.4,226.8333333,69.04166667
2021.7.22,광양항광양냉장태양광,3392093,28.13333337,0,2.391666667,57.41666667,70.16666667
2021.7.23,광양항광양냉장태양광,3789831,28.58333346,0,2.158333333,65.08333333,69.54166667
2021.7.24,광양항광양냉장태양광,3657249,28.325,0,2.6,62.125,68.08333333
2021.7.25,광양항광양냉장태양광,3991832,28.25833321,0,2.904166667,60.58333333,65.20833333
2021.7.26,광양항광양냉장태양광,3769099,27.68333321,0,2.3,67.58333333,67.45833333
2021.7.27,광양항광양냉장태양광,4281576,28.47083337,0,1.233333333,79.375,71.70833333
2021.7.28,광양항광양냉장태양광,4158159,28.55833342,0,0.9875,169.125,69.75
2021.7.29,광양항광양냉장태양광,3840934,28.06666679,0,0.870833333,221.5833333,73.54166667
2021.7.30,광양항광양냉장태양광,4044864,28.72499988,0.041666667,1.075,206.2916667,76.29166667
2021.7.31,광양항광양냉장태양광,3708352,29.67916671,0,1.0125,226.8333333,76.33333333
2021.8.1,광양항광양냉장태양광,3834181,28.97499975,1,0.983333333,207.625,78.83333333
2021.8.2,광양항광양냉장태양광,3340025,28.2375,0,0.816666667,153.9583333,82.54166667
2021.8.3,광양항광양냉장태양광,2729678,27.55833317,0.020833333,0.566666667,151,81.58333333
